Cod Municipio,Departamento,Municipio,Categoria,Año,PCs aportados por MinTic,Tabletas MinTic para estudiantes,Tabletas MinTic para docentes,PCs MinTic para docentes,Tabletas aportadas por Dptos,PC aportados por Dptos,Total dispositivos,Sedes beneficiadas,Inversión
05002,ANTIOQUIA,ABEJORRAL,6,2010,12,0,0,0,0,0,12,5744,"$ 16,220,940.00"
05002,ANTIOQUIA,ABEJORRAL,6,2011,20,0,0,0,0,0,20,4705,"$ 20,534,677.00"
05002,ANTIOQUIA,ABEJORRAL,6,2012,170,0,0,0,0,0,170,3889,"$ 248,481,873.70"
05002,ANTIOQUIA,ABEJORRAL,6,2013,110,0,0,0,0,0,110,9985,"$ 152,800,551.40"
05002,ANTIOQUIA,ABEJORRAL,6,2014,156,440,0,0,0,0,596,2691,"$ 311,717,860.80"
05002,ANTIOQUIA,ABEJORRAL,6,2015,20,50,31,0,0,0,101,14307,"$ 58,026,905.60"
05002,ANTIOQUIA,ABEJORRAL,6,2016,0,0,86,0,0,0,86,4722,"$ 58,424,186.00"
05002,ANTIOQUIA,ABEJORRAL,6,2017,0,130,1,0,0,0,131,3781,"$ 123,533,427.53"
05002,ANTIOQUIA,ABEJORRAL,6,2018,0,0,0,0,0,0,0,3318,"$ 2,863,272.00"
05002,ANTIOQUIA,ABEJORRAL,6,2019,0,0,0,0,0,0,0,1053,$ 0.00
05002,ANTIOQUIA,ABEJORRAL,6,2020,0,0,0,0,0,0,0,0,$ 0.00
05002,ANTIOQUIA,ABEJORRAL,6,2021,0,0,0,0,0,0,0,0,$ 0.00
05002,ANTIOQUIA,ABEJORRAL,6,2022,0,0,0,0,0,0,0,0,$ 0.00
05004,ANTIOQUIA,ABRIAQUI,6,2010,0,0,0,0,0,0,0,5744,$ 0.00
05004,ANTIOQUIA,ABRIAQUI,6,2011,10,0,0,0,0,0,10,4705,"$ 10,651,100.00"
05004,ANTIOQUIA,ABRIAQUI,6,2012,0,0,0,0,0,0,0,3889,$ 0.00
05004,ANTIOQUIA,ABRIAQUI,6,2013,55,0,0,0,0,0,55,9985,"$ 78,144,446.30"
05004,ANTIOQUIA,ABRIAQUI,6,2014,16,0,0,0,0,0,16,2691,"$ 13,556,999.10"
05004,ANTIOQUIA,ABRIAQUI,6,2015,0,0,1,0,0,0,1,14307,"$ 517,599.00"
05004,ANTIOQUIA,ABRIAQUI,6,2016,5,110,0,0,0,0,115,4722,"$ 90,463,385.00"
